COMPLIANCE DATE,REGISTRATION,TRACKED BY,MODEL,SERIAL NUMBER,TASK DESCRIPTION,ATA CODE,MFG.CODE,ITEM NUMBER,PART NUMBER REMOVED,SERIAL NUMBER REMOVED,REMOVAL REASON,ACCUMULATED MONTHS,ACCUMULATED HOURS,ACCUMULATED LANDINGS,ACCUMULATED CYCLES,PART NUMBER INSTALLED,SERIAL NUMBER INSTALLED,INSTALLED STATUS,MSN AT INSTALL,TSN AT INSTALL,LSN AT INSTALL,CSN AT INSTALL,MSO AT INSTALL,TSO AT INSTALL,LSO AT INSTALL,CSO AT INSTALL
03/19/2026,N291HC,Hoist 1,3G2591V01532,40336,"RESCUE HOIST CABLE CUTTER CARTRIDGE LIFE LIMIT
FROM DATE OF MANUFACTURE",25,DT 03,1,42315-281,1Q2021,[S] Scheduled,,,,,42315-281,17955,[N] New,0,0.00,,0.00,,,,
03/19/2026,N291HC,Airframe,A109SP,22313,(RII) TOOTHED BELT - DISCARD [63-01] - #1,63,DT63-01.1,452,109-0455-09-103,91484,[S] Scheduled,,,,,109-0455-09-103,92435,[N] New,0,0.00,0,,,,,
03/19/2026,N291HC,Airframe,A109SP,22313,(RII) MAIN ROTOR DAMPERS OVERHAUL - #4,62,01,395,109-0112-39-105,MCR3256,LEAKING,,,,,109-0112-39-105,0940,[R] Repaired,,3680.40,,,,1045.80,,
03/21/2026,N251HC,Airframe,A109SP,22221,ATTITUDE HEADING REF. SYS. #1,34,1022.1,273,145130-1002,3184,[F] Failed,,,,,145130-1002,8065,[S] Serviceable,,1499.80,5339,,,1499.80,5339,
03/25/2026,N271HC,Airframe,A109SP,22250,(RII) ENVIRONMENTAL CONTROL SYSTEM COOLING TURBINE-OVERHAUL [21-02],21,CO21-02,62,1538D000-002,1234,[C] Convenience,,,,,1538D000-003,1352,[S] Serviceable,41,1635.10,5043,,41,1635.10,5043,
03/25/2026,N271HC,Airframe,A109SP,22250,(RII) ENVIROMENTAL ASSY,21,2001,46,5833C000-005,1850,[NS] Not Specified,,,,,5833C000-005,1735,[A] Altered,41,6556.40,5043,,41,1635.10,5043,
03/31/2026,N271HC,Airframe,A109SP,22250,(RII) LOW LEVEL SWITCH,29,3040,192,109-0760-45-1,1199,[F] Failed,,,,,109-0760-45-1,1493,[S] Serviceable,153,,,,153,,,
04/03/2026,N281HC,Airframe,A109SP,22310,(RII) ENGINE #1 OIL PRESSURE TRANSDUCER - #2,79,1110.3,665,109-0729-24-127,AGAG1590,[F] Failed,,,,,109-0729-24-127,AGAG3555,[N] New,0,0.00,0,,,,,
04/04/2026,N531HC,Airframe,A109SP,22366,(RII) ROTARY SCISSOR SLEEVE MR LOWER,62,3103,1551,109-0110-69-111,CCC0035,[W] Worn To Limits,,,,,109-0110-69-111,CCC0090,[N] New,,,,,,,,
04/04/2026,N531HC,Airframe,A109SP,22366,(RII) LOWER SCISSOR LEVER ASSY,62,3102,1550,109-0134-25-101,CCB0143,[W] Worn To Limits,,,,,109-0134-25-101,CCB0007,[I] Inspected,,202.00,872,,,,,
04/04/2026,N531HC,Airframe,A109SP,22366,(RII) UPPER SCISSOR LEVER ASSY,62,3101,1549,109-0134-23-105,CCB0463,[W] Worn To Limits,,,,,109-0134-23-105,CCB0444,[I] Inspected,,202.00,872,,,,,
04/04/2026,N531HC,Airframe,A109SP,22366,(RII) ROTATING SCISSOR ASSY,62,3100,1548,109-0134-21-103,AW154,[W] Worn To Limits,,,,,109-0134-21-103,CCCB0007/CCCB0444,[I] Inspected,,202.00,872,,,,,
04/04/2026,N531HC,Airframe,A109SP,22366,(RII) ROTARY SCISSOR SLEEVE,62,1003,456,109-0110-69-109,AVM0781,[W] Worn To Limits,,,,,109-0110-69-109,AVM1002,[N] New,0,0.00,0,,,,,
