COMPLIANCE DATE,REGISTRATION,TRACKED BY,MODEL,SERIAL NUMBER,TASK DESCRIPTION,ATA CODE,MFG.CODE,ITEM NUMBER,PART NUMBER REMOVED,SERIAL NUMBER REMOVED,REMOVAL REASON,ACCUMULATED MONTHS,ACCUMULATED HOURS,ACCUMULATED LANDINGS,ACCUMULATED CYCLES,PART NUMBER INSTALLED,SERIAL NUMBER INSTALLED,INSTALLED STATUS,MSN AT INSTALL,TSN AT INSTALL,LSN AT INSTALL,CSN AT INSTALL,MSO AT INSTALL,TSO AT INSTALL,LSO AT INSTALL,CSO AT INSTALL
04/27/2016,N631HC,Airframe,A109SP,22349,(RII) ELASTOMERIC BUSHING - DISCARD [64-01] - #2,64,DT64-01.2,2097,,,,,,,,709-0160V01-101,9621,[N] New,,,,,,,,
04/27/2016,N631HC,Airframe,A109SP,22349,RII      ELASTOMERIC BUSHING - DISCARD [64-01] - #1,64,DT64.01.1,2098,,,,,,,,709-0160V01-101,9526,[N] New,,,,,,,,
04/27/2016,N631HC,Airframe,A109SP,22349,RII      BLADE 1 - RETIREMENT,64,RL64-01.1,2021,,,,,,,,709-0160-48-101,14060,,0,0.00,0,,0,,,
04/27/2016,N631HC,Airframe,A109SP,22349,RII      BLADE 2 - RETIREMENT,64,RL64-01.2,2051,,,,,,,,709-0160-48-101,14080,,0,0.00,0,,0,0.00,0,
04/27/2016,N631HC,Airframe,A109SP,22349,RII      CONTROL LEVER - RETIREMENT,64,RL64-03,2052,,,,,,,,109-0040-48-117,22349,,0,0.00,0,0.00,0,0.00,0,0.00
04/27/2016,N631HC,Airframe,A109SP,22349,RII      LINK ASSEMBLY 1 - RETIREMENT,64,RL64-05.1,2057,,,,,,,,109-0040-47-1,22349-1,,0,0.00,0,0.00,0,0.00,0,0.00
04/27/2016,N631HC,Airframe,A109SP,22349,RII      LINK ASSEMBLY 2 - RETIREMENT,64,RL64-05.2,2047,,,,,,,,109-0040-47-1,22349-2,,0,0.00,0,0.00,0,0.00,0,0.00
04/27/2016,N631HC,Airframe,A109SP,22349,RII      SUPPORT - RETIREMENT,64,RL64-11,2060,,,,,,,,109-0040-49-5,22349,,0,0.00,0,0.00,0,0.00,0,0.00
04/27/2016,N631HC,Airframe,A109SP,22349,(RII) LEVER - RETIREMENT,64,RL64-12,2064,,,,,,,,109-0130-21-103,MOR0877,,0,0.00,0,0.00,0,0.00,0,0.00
04/27/2016,N631HC,Airframe,A109SP,22349,RII      SHAFT - RETIREMENT,64,RL64-13,2024,,,,,,,,109-0130-33-1,MOR0940,,0,0.00,0,0.00,0,0.00,0,0.00
04/27/2016,N631HC,Airframe,A109SP,22349,LH TRANSMISSION ENGINE DRIVE SHAFT,65,1001.1,2171,,,,,,,,109-0415-06-103,2077,[I] Inspected,,,,,,,,
04/27/2016,N631HC,Airframe,A109SP,22349,RH TRANSMISSION DRIVE SHAFT,65,1001.2,2172,,,,,,,,109-0415-06-103,1546,[I] Inspected,,,,,,,,
04/27/2016,N631HC,Airframe,A109SP,22349,RII             TAIL ROTOR DRIVE SHAFT ASSEMBLY #2,65,1003.1,2102,,,,,,,,109-8412-02-3,58,[N] New,,,,,,,,
04/27/2016,N631HC,Airframe,A109SP,22349,(RII) PITCH CHANGE SLIDER ASSY,65,2002,2178,,,,,,,,109-0130-91-119,MOR0873,[I] Inspected,,,,,,,,
04/27/2016,N631HC,Airframe,A109SP,22349,(RII)             TAIL ROTOR SUPPORT BEARING SLEEVE,65,2003,2173,,,,,,,,109-0506-56-105,5423,[I] Inspected,,,,,,,,
04/27/2016,N631HC,Airframe,A109SP,22349,(RII)      TAIL ROTOR SUPPORT BEARING SLEEVE,65,2003,2183,,,,,,,,109-0130-94-113,MOR0580,[I] Inspected,,,,,,,,
